kind,league,slot,league_rank,name,url
player,Ligue 1,51,28,"A. Bermont",https://4590football.com/livescore/football/player/402066/a-bermont
player,Premier League,52,32,"A. Iwobi",https://4590football.com/livescore/football/player/1455/a-iwobi
player,La Liga,52,29,"Aaron Mayol",https://4590football.com/livescore/football/player/641317/aaron-mayol
player,Bundesliga,52,32,"A. Daghim",https://4590football.com/livescore/football/player/362564/a-daghim
player,Serie A,52,29,"S. Pizzignacco",https://4590football.com/livescore/football/player/31566/s-pizzignacco
player,Ligue 1,52,29,"A. Bodart",https://4590football.com/livescore/football/player/2096/a-bodart
player,Premier League,53,33,"A. Khusanov",https://4590football.com/livescore/football/player/360114/a-khusanov
player,La Liga,53,30,"Guilherme Fernandes",https://4590football.com/livescore/football/player/329663/guilherme-fernandes
player,Bundesliga,53,33,"A. Davies",https://4590football.com/livescore/football/player/509/a-davies
player,Serie A,53,30,"A. Arena",https://4590football.com/livescore/football/player/484027/a-arena
player,Ligue 1,53,30,"A. Bouaddi",https://4590football.com/livescore/football/player/438688/a-bouaddi
player,Premier League,54,34,"A. Kinský",https://4590football.com/livescore/football/player/265826/a-kinsky
player,La Liga,54,31,"M. Gonzalez",https://4590football.com/livescore/football/player/561066/m-gonzalez
player,Bundesliga,54,34,"A. Dźwigała",https://4590football.com/livescore/football/player/40274/a-dwigaa
player,Serie A,54,31,"A. Atta",https://4590football.com/livescore/football/player/347644/a-atta
player,Ligue 1,54,31,"A. Bulatović",https://4590football.com/livescore/football/player/394950/a-bulatovi
player,Premier League,55,35,"A. Mac Allister",https://4590football.com/livescore/football/player/6716/a-mac-allister
player,La Liga,55,32,"M. de Luis",https://4590football.com/livescore/football/player/548862/m-de-luis
player,Bundesliga,55,35,"A. Grønbæk",https://4590football.com/livescore/football/player/263177/a-gronbek
player,Serie A,55,32,"A. Baralla",https://4590football.com/livescore/football/player/544589/a-baralla
player,Ligue 1,55,32,"A. Camara",https://4590football.com/livescore/football/player/428504/a-camara
player,Premier League,56,36,"A. Murphy",https://4590football.com/livescore/football/player/318056/a-murphy
player,La Liga,56,33,"Torreguitart Nil",https://4590football.com/livescore/football/player/613218/torreguitart-nil
player,Bundesliga,56,36,"A. Hajdari",https://4590football.com/livescore/football/player/278453/a-hajdari
player,Serie A,56,33,"A. Bastoni",https://4590football.com/livescore/football/player/31009/a-bastoni
player,Ligue 1,56,33,"A. Camara",https://4590football.com/livescore/football/player/84218/a-camara
player,Premier League,57,37,"A. Nallo",https://4590football.com/livescore/football/player/407032/a-nallo
player,La Liga,57,34,"A. Ruiz",https://4590football.com/livescore/football/player/585784/a-ruiz
player,Bundesliga,57,37,"A. Hanche-Olsen",https://4590football.com/livescore/football/player/39279/a-hanche-olsen
player,Serie A,57,34,"A. Bella-Kotchap",https://4590football.com/livescore/football/player/25061/a-bella-kotchap
player,Ligue 1,57,34,"A. Cisse",https://4590football.com/livescore/football/player/551210/a-cisse
player,Premier League,58,38,"A. Onana",https://4590football.com/livescore/football/player/162714/a-onana
player,La Liga,58,35,"A. Abqar",https://4590football.com/livescore/football/player/46813/a-abqar
player,Bundesliga,58,38,"A. Hložek",https://4590football.com/livescore/football/player/66019/a-hloek
player,Serie A,58,35,"A. Belotti",https://4590football.com/livescore/football/player/30509/a-belotti
player,Ligue 1,58,35,"A. Delplace",https://4590football.com/livescore/football/player/437143/a-delplace
player,Premier League,59,39,"Á. Pécsi",https://4590football.com/livescore/football/player/342467/a-pecsi
player,La Liga,59,36,"A. Adams",https://4590football.com/livescore/football/player/57446/a-adams
player,Bundesliga,59,39,"A. Hountondji",https://4590football.com/livescore/football/player/178921/a-hountondji
player,Serie A,59,36,"A. Bernede",https://4590football.com/livescore/football/player/1090/a-bernede
